Time,Clean,LessNoisy,Noisy,FilteredLessNoisy,FilteredNoisy
0.670000,0.618039,0.365992,1.366178,0.711647,1.139879
0.672000,0.963506,0.926476,2.491733,0.959755,1.733390
0.674000,1.274853,1.360934,1.928640,1.133355,1.786277
0.676000,1.541026,1.562421,1.459465,1.465501,1.542898
0.678000,1.752613,1.450954,1.685369,1.693230,1.331853
0.680000,1.902115,2.026722,0.149283,1.828403,1.398701
0.682000,1.984229,2.065119,1.436509,1.838204,1.031963
0.684000,1.996053,2.036799,2.262878,2.007551,1.822901
0.686000,1.937166,1.611424,-0.416944,1.829558,0.871543
0.688000,1.809651,2.297691,3.453662,1.701225,2.366254
0.690000,1.618034,1.136759,1.662847,1.429425,1.557276
0.692000,1.369100,0.978257,0.878840,1.179307,1.289945
0.694000,1.071654,1.166351,1.866561,0.839420,0.743728
0.696000,0.736256,0.681357,-0.286448,0.669366,0.594963
0.698000,0.374762,0.234378,-0.403158,0.410661,0.466475
0.700000,0.000007,0.286488,0.919019,0.100712,-0.091650
0.702000,-0.374763,-0.275854,0.236400,-0.357481,-0.305519
0.704000,-0.736243,-1.142934,-0.924063,-0.885061,-0.824865
0.706000,-1.071654,-1.312628,-1.355794,-1.170871,-1.471336
0.708000,-1.369100,-1.092237,-2.690844,-1.372500,-1.987840
0.710000,-1.618035,-1.887244,-2.816083,-1.617821,-2.090893
0.712000,-1.809658,-1.427459,-2.152416,-1.768853,-2.535416
0.714000,-1.937167,-2.369538,-1.439328,-2.051618,-2.442379
0.716000,-1.996054,-2.067789,-3.578411,-2.175697,-2.655101
0.718000,-1.984229,-2.506061,-2.225658,-2.241147,-1.966828
0.720000,-1.902110,-2.507636,0.671790,-2.156299,-0.382811
0.722000,-1.752612,-1.754709,-2.012689,-1.847372,-1.109624
0.724000,-1.541030,-1.945300,-0.727103,-1.754291,-0.453594
0.726000,-1.274846,-0.842223,-0.110571,-1.041831,-0.526876
0.728000,-0.963512,-0.778238,-0.089396,-0.905720,-0.176105
0.730000,-0.618032,-0.443456,0.305378,-0.419180,0.067033
0.732000,-0.250671,-0.665981,-0.258833,-0.336036,0.299342
0.734000,0.125584,0.686249,0.488585,0.086754,0.415300
0.736000,0.497375,0.272807,1.050978,0.332247,0.658723
0.738000,0.851562,0.237841,0.490391,0.697022,1.298762
0.740000,1.175567,1.484111,1.522493,1.199562,1.525834
0.742000,1.457940,1.348858,2.941362,1.338226,1.639681
0.744000,1.688654,1.654205,1.623947,1.683425,1.769176
0.746000,1.859554,1.938387,1.620214,1.802423,2.147774
0.748000,1.964577,1.991565,1.137864,1.927335,1.978408
0.750000,2.000000,2.079099,3.415484,1.986206,2.152135
0.752000,1.964575,1.973420,2.094531,1.973678,1.956203
0.754000,1.859551,1.948561,-0.188628,1.864387,0.361567
0.756000,1.688657,1.875746,2.854082,1.626725,1.971059
0.758000,1.457934,1.445109,-0.919067,1.444113,0.003873
0.760000,1.175573,0.890788,1.455108,1.081695,1.286420
0.762000,0.851554,1.060363,2.499106,0.816159,1.401257
0.764000,0.497382,0.337105,-0.877395,0.330224,0.382391
0.766000,0.125591,-0.138819,0.410689,-0.009461,0.674512
0.768000,-0.250664,-0.519259,0.418004,-0.376123,0.303070
0.770000,-0.618025,-0.442067,1.283484,-0.715376,0.511866
0.772000,-0.963506,-1.108498,0.280569,-1.028810,0.184150
0.774000,-1.274841,-1.368236,0.166586,-1.296803,-0.112842
0.776000,-1.541026,-1.688578,-1.227891,-1.543647,-1.299921
0.778000,-1.752616,-1.841603,-3.346944,-1.758387,-2.414119
0.780000,-1.902113,-1.711322,-2.835129,-1.758038,-2.352396
0.782000,-1.984230,-2.182194,-2.105902,-1.787506,-2.847391
0.784000,-1.996053,-1.366493,-2.246113,-1.768549,-2.260361
0.786000,-1.937165,-1.835919,-3.702866,-1.782790,-2.233836
0.788000,-1.809654,-1.746818,-0.425255,-1.560488,-1.550282
0.790000,-1.618030,-1.782526,-1.767128,-1.484387,-1.763049
0.792000,-1.369094,-1.070685,-1.106665,-1.306291,-1.208432
0.794000,-1.071647,-0.985989,-1.808715,-1.015046,-1.352062
0.796000,-0.736249,-0.945436,-0.934398,-0.670952,-0.950495
0.798000,-0.374770,-0.291754,-1.143403,-0.290787,-0.698363
0.800000,0.000000,0.309722,0.240705,0.096044,0.302147
0.802000,0.374756,0.462684,1.984371,0.426163,1.554761
0.804000,0.736250,0.517922,1.561747,0.733346,1.753796
0.806000,1.071648,1.132243,2.890150,1.130314,2.084594
0.808000,1.369095,1.951797,2.092008,1.519659,1.973947
0.810000,1.618030,1.581827,1.894695,1.530976,2.236928
0.812000,1.809655,1.859285,1.431132,1.731280,2.351496
0.814000,1.937169,1.129729,2.876657,1.817505,2.086759
0.816000,1.996054,2.133761,3.462985,1.909060,2.132215
0.818000,1.984228,2.382921,0.768325,1.888751,2.269109
0.820000,1.902112,2.039604,2.121978,1.988760,2.052033
0.822000,1.752609,1.757742,2.115600,1.829280,1.634356
0.824000,1.541025,1.629771,1.791279,1.610460,1.771635
0.826000,1.274852,1.336362,1.374600,1.277807,1.590990
0.828000,0.963505,1.288822,1.454716,1.056967,1.478923
0.830000,0.618039,0.346765,1.218754,0.488292,1.180119
