Time,Clean,LessNoisy,Noisy,MMSELessNoisy,MMSENoisy
0.666000,-0.125576,0.321877,0.243126,-0.329811,-0.178543
0.668000,0.250664,0.582954,-1.256058,0.564017,0.310344
0.670000,0.618039,0.365992,1.366178,0.925382,0.221143
0.672000,0.963506,0.926476,2.491733,0.754163,1.108203
0.674000,1.274853,1.360934,1.928640,1.288255,1.644606
0.676000,1.541026,1.562421,1.459465,1.643805,2.192231
0.678000,1.752613,1.450954,1.685369,1.920651,2.288019
0.680000,1.902115,2.026722,0.149283,1.557526,2.477254
0.682000,1.984229,2.065119,1.436509,1.966322,2.293889
0.684000,1.996053,2.036799,2.262878,2.125143,2.137538
0.686000,1.937166,1.611424,-0.416944,1.970888,1.834223
0.688000,1.809651,2.297691,3.453662,1.611797,1.678014
0.690000,1.618034,1.136759,1.662847,1.812039,1.856441
0.692000,1.369100,0.978257,0.878840,1.041180,1.391923
0.694000,1.071654,1.166351,1.866561,0.816851,0.914817
0.696000,0.736256,0.681357,-0.286448,0.666485,0.441729
0.698000,0.374762,0.234378,-0.403158,0.465424,-0.069617
0.700000,0.000007,0.286488,0.919019,-0.200927,-0.285186
0.702000,-0.374763,-0.275854,0.236400,-0.337615,-0.546748
0.704000,-0.736243,-1.142934,-0.924063,-0.547423,-0.744535
0.706000,-1.071654,-1.312628,-1.355794,-1.179465,-0.941743
0.708000,-1.369100,-1.092237,-2.690844,-1.501813,-1.499088
0.710000,-1.618035,-1.887244,-2.816083,-1.420741,-1.766196
0.712000,-1.809658,-1.427459,-2.152416,-1.984024,-2.041181
0.714000,-1.937167,-2.369538,-1.439328,-1.728113,-2.185174
0.716000,-1.996054,-2.067789,-3.578411,-2.175090,-2.144595
0.718000,-1.984229,-2.506061,-2.225658,-1.951779,-2.138783
0.720000,-1.902110,-2.507636,0.671790,-2.299905,-1.956111
0.722000,-1.752612,-1.754709,-2.012689,-2.139353,-1.815098
0.724000,-1.541030,-1.945300,-0.727103,-1.743139,-1.194128
0.726000,-1.274846,-0.842223,-0.110571,-1.472004,-0.801209
0.728000,-0.963512,-0.778238,-0.089396,-0.774356,-0.821509
0.730000,-0.618032,-0.443456,0.305378,-0.420498,0.315505
0.732000,-0.250671,-0.665981,-0.258833,0.097696,0.765610
0.734000,0.125584,0.686249,0.488585,-0.101769,0.601077
0.736000,0.497375,0.272807,1.050978,1.033478,1.303730
0.738000,0.851562,0.237841,0.490391,1.019228,1.310396
0.740000,1.175567,1.484111,1.522493,0.843059,0.998241
0.742000,1.457940,1.348858,2.941362,1.526278,1.703097
0.744000,1.688654,1.654205,1.623947,1.793676,1.964671
0.746000,1.859554,1.938387,1.620214,1.951199,1.828463
0.748000,1.964577,1.991565,1.137864,1.891967,1.688164
0.750000,2.000000,2.079099,3.415484,2.160630,1.530298
0.752000,1.964575,1.973420,2.094531,2.105173,1.500293
0.754000,1.859551,1.948561,-0.188628,1.948397,1.313717
0.756000,1.688657,1.875746,2.854082,1.813030,1.084003
0.758000,1.457934,1.445109,-0.919067,1.665490,0.526545
0.760000,1.175573,0.890788,1.455108,1.415236,0.365381
0.762000,0.851554,1.060363,2.499106,0.625820,0.365095
0.764000,0.497382,0.337105,-0.877395,0.674044,-0.298224
0.766000,0.125591,-0.138819,0.410689,0.139919,-0.460902
0.768000,-0.250664,-0.519259,0.418004,-0.348624,-0.701104
0.770000,-0.618025,-0.442067,1.283484,-0.916701,-1.215504
0.772000,-0.963506,-1.108498,0.280569,-0.786396,-0.823513
0.774000,-1.274841,-1.368236,0.166586,-1.245847,-1.079156
0.776000,-1.541026,-1.688578,-1.227891,-1.673215,-1.229632
0.778000,-1.752616,-1.841603,-3.346944,-1.797677,-1.345670
0.780000,-1.902113,-1.711322,-2.835129,-1.928677,-1.747763
0.782000,-1.984230,-2.182194,-2.105902,-1.774315,-1.576973
0.784000,-1.996053,-1.366493,-2.246113,-1.946264,-2.008656
0.786000,-1.937165,-1.835919,-3.702866,-1.526192,-1.630865
0.788000,-1.809654,-1.746818,-0.425255,-1.538944,-1.694468
0.790000,-1.618030,-1.782526,-1.767128,-1.426840,-1.871577
0.792000,-1.369094,-1.070685,-1.106665,-1.372327,-0.799220
0.794000,-1.071647,-0.985989,-1.808715,-0.780985,-1.316099
